SiteNo,DecLatVa [deg],DecLongVa [deg],AquiferType
7.00,40.9899368,-98.7467,UNCONFINED
8.00,41.665539,-101.438019,UNCONFINED
9.00,41.236328,-101.509558,UNCONFINED
10.00,41.392242,-100.877769,UNCONFINED
11.00,41.85984,-98.2104,UNCONFINED
13.00,42.244606,-99.652525,UNCONFINED
14.00,42.129631,-103.472533,UNCONFINED
15.00,42.080822,-101.46605,UNCONFINED
18.00,42.6607742,-104.05304,UNCONFINED
20.00,40.176456,-97.941811,CONFINED
22.00,42.2663269,-102.704666,UNCONFINED
23.00,41.202836,-102.953522,UNCONFINED
25.00,41.638958,-104.050064,CONFINED
26.00,41.8833923,-103.09034,UNCONFINED
27.00,42.008758,-102.577806,UNCONFINED
35.00,40.27548,-101.055779,CONFINED
37.00,41.559897,-101.169608,UNCONFINED
40.00,42.2172852,-100.531334,UNCONFINED
46.00,42.42217,-101.477493,UNCONFINED
47.00,42.20639,-99.084816,UNCONFINED
49.00,42.5307961,-98.5013962,UNCONFINED
51.00,41.94151,-99.48348,UNCONFINED
52.00,41.62561,-100.021179,UNCONFINED
53.00,41.94152,-99.48349,UNCONFINED
54.00,41.62561,-100.021179,CONFINED
55.00,42.20639,-99.084816,UNCONFINED
57.00,42.1523132,-102.875145,UNCONFINED
58.00,41.23607,-97.29198,CONFINED
59.00,40.56795,-97.4638,CONFINED
60.00,40.3095,-97.02937,CONFINED
61.00,40.65073,-97.12287,CONFINED
9074.00,36.89259357,-100.2330832,UNCONFINED
9202.00,36.56178628,-102.0860395,UNCONFINED
9708.00,36.62249669,-101.5276257,UNCONFINED
260303.00,36.124166,-102.508611,UNCONFINED
354301.00,36.243333,-101.262222,UNCONFINED
503709.00,35.889166,-100.739999,UNCONFINED
510953.00,35.769166,-100.775832,UNCONFINED
526501.00,35.570554,-100.829999,UNCONFINED
529505.00,35.574444,-100.434167,UNCONFINED
635912.00,35.413611,-101.639999,UNCONFINED
655504.00,35.18111,-101.169166,UNCONFINED
712401.00,35.805833,-102.613611,UNCONFINED
1004901.00,34.895555,-102.527777,UNCONFINED
1051909.00,34.146666,-102.658333,UNCONFINED
1053602.00,34.169443,-102.402777,UNCONFINED
1142315.00,34.354444,-101.758611,UNCONFINED
1151403.00,34.192221,-101.727221,UNCONFINED
1204452.00,34.939444,-100.605555,UNCONFINED
1211118.00,34.873332,-100.720832,UNCONFINED
2330103.00,33.587777,-101.341666,UNCONFINED
2462601.00,33.066111,-102.29111,UNCONFINED
2739903.00,32.386666,-102.147777,UNCONFINED
2825604.00,32.574999,-101.881388,UNCONFINED
330458103251001.00,33.08202778,-103.4211667,UNCONFINED
332115103403301.00,33.35671944,-103.6777833,UNCONFINED
341010102240801.00,34.1695,-102.4040556,CONFINED
343347103345001.00,34.56502778,-103.5816389,UNCONFINED
361739099323301.00,36.29427778,-99.54255556,
363033101440701.00,36.50919331,-101.7357184,UNCONFINED
370033100534202.00,37.009169,-100.89505,UNCONFINED
370130101180902.00,37.025059,-101.302547,UNCONFINED
370421102015501.00,37.072615,-102.032043,UNCONFINED
373925100395301.00,37.65701,-100.6648,UNCONFINED
374624100570401.00,37.77311,-100.95103,UNCONFINED
375642097385305.00,37.945,-97.64805556,UNCONFINED
375926099064001.00,37.987444,-99.113763,UNCONFINED
381119098435301.00,38.18862439,-98.73175232,
381213098595601.00,38.203636,-98.99875,UNCONFINED
383132100543101.00,39.23452,-101.0185,UNCONFINED
383139199364401.00,38.52561,-100.61293,UNCONFINED
383926101314701.00,38.65682,-101.53003,UNCONFINED
385059101582401.00,38.85003,-101.97341,UNCONFINED
390740103055801.00,39.12777077,-103.0999358,UNCONFINED
391244101501901.00,39.21232,-101.83853,UNCONFINED
391404101010701.00,38.5256,-100.9087,UNCONFINED
392431100384501.00,39.409,-100.64578,UNCONFINED
400155101521302.00,40.02866667,-101.8712222,UNCONFINED
400400100531501.00,40.06666846,-100.8879345,
400852101352701.00,40.14832705,-101.59628,
401401101510701.00,40.2336037,-101.8524003,
401548101080501.00,40.26332921,-101.1351622,
401703101394801.00,40.28582667,-101.6632265,
401837097015301.00,40.31028002,-97.03169797,
401919100223001.00,40.3219505,-100.3754221,
401928098292502.00,40.32445801,-98.49061668,UNCONFINED
402103098475701.00,40.35194444,-98.79942222,
402105098543201.00,40.352225,-98.90858333,
402236100013201.00,40.37796389,-100.0276917,
402324098220601.00,40.39001326,-98.36866671,UNCONFINED
402411098370101.00,40.40306987,-98.61728937,UNCONFINED
402415098311601.00,40.40418066,-98.5214519,UNCONFINED
402507098255801.00,40.41862479,-98.43311457,UNCONFINED
402614100373001.00,40.43750741,-100.6479294,
402623100222001.00,40.43972902,-100.3726431,
402636098534401.00,40.44323056,-98.894875,CONFINED
402726099461700.00,40.45884722,-99.77360833,UNCONFINED
402757101591201.00,40.46582847,-101.9871279,
402946099481501.00,40.49722844,-99.80761996,
403014098002201.00,40.50390012,-98.00643565,
403107098210701.00,40.51862471,-98.35227901,UNCONFINED
403235101395501.00,40.54471812,-101.6668369,
403309099250701.00,40.55437778,-99.41996667,
403326099582301.00,40.55825833,-99.97269444,UNCONFINED
403409098263901.00,40.56918049,-98.44450598,UNCONFINED
403422098395701.00,40.57279231,-98.66618144,UNCONFINED
403454099304801.00,40.58315556,-99.51227778,
403509098463601.00,40.58589722,-98.77617222,
403516101560601.00,40.58777385,-101.9354582,
403658100225301.00,40.61611886,-100.3818074,
403853099493501.00,40.64650556,-99.82961667,UNCONFINED
403855097072501.00,40.64861664,-97.12392648,
403903098295101.00,40.65136667,-98.49732222,UNCONFINED
403941099331901.00,40.66387222,-99.55726389,
403952099583201.00,40.66275,-99.976125,UNCONFINED
403954099152101.00,40.66491667,-99.25589444,UNCONFINED
404001099463601.00,40.66689167,-99.77699167,UNCONFINED
404129100340901.00,40.68500832,-100.5698673,
404159100494601.00,40.69973083,-100.8298721,
404233100132301.00,40.70917458,-100.2234666,
404237098395402.00,40.71019722,-98.66516667,UNCONFINED
404343099272901.00,40.72841667,-99.457925,UNCONFINED
404513098181201.00,40.75625,-98.30505,UNCONFINED
404513098181202.00,40.75625,-98.30508333,UNCONFINED
